Date	Day	Mesocosm	TP	Salinity	Conductivity	Ft
22.8.2023	2	1	low	1		62,6
22.8.2023	2	2	high	0,2		51,2
22.8.2023	2	3	low	5		49,6
22.8.2023	2	4	high	0		48,2
22.8.2023	2	5	high	0,2		56
22.8.2023	2	6	low	5		52,8
22.8.2023	2	7	low	0		58,8
22.8.2023	2	8	high	1		55,6
22.8.2023	2	9	low	0,2		52,6
22.8.2023	2	10	high	0		59,2
22.8.2023	2	11	low	1		56,2
22.8.2023	2	12	high	5		51,8
22.8.2023	2	13	high	1		68,6
22.8.2023	2	14	low	0		46,4
22.8.2023	2	15	high	0,2		57,8
22.8.2023	2	16	low	0,2		47,6
22.8.2023	2	17	high	5		63
22.8.2023	2	18	low	1		64,2
22.8.2023	2	19	high	0		62,8
22.8.2023	2	20	low	0,2		40,6
22.8.2023	2	21	high	1		55,4
22.8.2023	2	22	low	5		60,6
22.8.2023	2	23	low	0		68
22.8.2023	2	24	high	5		56,8
23.8.2023	3	1	low	1	1094	30,2
23.8.2023	3	2	high	0,2	415	41,4
23.8.2023	3	3	low	5	4450	22,8
23.8.2023	3	4	high	0	241	36
23.8.2023	3	5	high	0,2	419	48,6
23.8.2023	3	6	low	5	4430	20,2
23.8.2023	3	7	low	0	240	54
23.8.2023	3	8	high	1	1086	33
23.8.2023	3	9	low	0,2	418	54,4
23.8.2023	3	10	high	0	240	58,8
23.8.2023	3	11	low	1	1102	35,4
23.8.2023	3	12	high	5	4340	20
23.8.2023	3	13	high	1	1093	34,4
23.8.2023	3	14	low	0	240	32,6
23.8.2023	3	15	high	0,2	418	52,6
23.8.2023	3	16	low	0,2	415	64,6
23.8.2023	3	17	high	5	4410	21
23.8.2023	3	18	low	1	1100	36,2
23.8.2023	3	19	high	0	240	59,2
23.8.2023	3	20	low	0,2	418	66,6
23.8.2023	3	21	high	1	1100	40,2
23.8.2023	3	22	low	5	4350	31,2
23.8.2023	3	23	low	0	240	70,2
23.8.2023	3	24	high	5	4400	28,6
24.8.2023	4	1	low	1		28
24.8.2023	4	2	high	0,2		42
24.8.2023	4	3	low	5		21,4
24.8.2023	4	4	high	0		41,7
24.8.2023	4	5	high	0,2		71,4
24.8.2023	4	6	low	5		16
24.8.2023	4	7	low	0		67,4
24.8.2023	4	8	high	1		30
24.8.2023	4	9	low	0,2		50
24.8.2023	4	10	high	0		81,7
24.8.2023	4	11	low	1		36,7
24.8.2023	4	12	high	5		16,4
24.8.2023	4	13	high	1		28,4
24.8.2023	4	14	low	0		22,7
24.8.2023	4	15	high	0,2		75
24.8.2023	4	16	low	0,2		57
24.8.2023	4	17	high	5		27
24.8.2023	4	18	low	1		29,4
24.8.2023	4	19	high	0		112,4
24.8.2023	4	20	low	0,2		78,4
24.8.2023	4	21	high	1		45
24.8.2023	4	22	low	5		25,4
24.8.2023	4	23	low	0		92,4
24.8.2023	4	24	high	5		25,4
